Model,Price,Description 2,Description,City,District,Region
iPhone 12 Pro (256) | Technomoney Петропавловск,180 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","iPhone 12 Pro (256GB)

состояние аккумулятора: 77%
комплектация: коробка
состояние телефона: 9/10

АКЦИЯ
Цена за наличный расчет: 180.000тг
Ежемесячный платеж в рассрочку 0•0•12: 17.666тг
(Можно обменять с доплатой по системе TRADE IN)

Мы находимся по адресу:
г. Петропавловск, Назарбаева 111
Наш инстаграм: technomoney.kz","Петропавловск,",,Северо-Казахстанская область
Iphone 13 blue 128 gb,222 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 4 Гб', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']",Продам айфон 13 128 гб АКБ 96% телефону несколько месяцев все родное все есть. Либо обменяю на iPhone SE 2022 gen 3 с вашей доплатой батарея как у меня должна быть…,"Валиханово,",,Акмолинская область
iPhone 13 256 gb,270 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам айфон 13 на 256 гб
Не битый без царапин в идеальном состоянии состояние аккумулятора 84% не лагает документы зарядка коробка все имеется на экране защитное стекло
Без защитки и чехла не носился
Все работает четко и плавно","Акбулак,",,Карагандинская область
Iphone 13. 128gb,160 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 4.1""-4.5""', 'Состояние: Б/у']","Продам iPone 13. 128gb.
Б/У. 1 хозяин.
Акб 72.
Без минусов. Без ремонта.
160.000","Уральск, Кинотеатр Гагарина",Кинотеатр Гагарина,Западно-Казахстанская область
Смартфон Apple iPhone 13 Pro Max 1Tb gold (Айфон золото террабайт),350 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 1024 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Идеальное состояние. ЕАС. Цена указана со скидкой окончательно. Покупали за 989 000 тенге в магазине Sulpak в Dostyk Plaza, оригинальный чек с печатью и QR кодом на руках. 100 % оригинал, Face ID работает. Сам телефон тоже летает, камера отличная).
Продаем в связи с покупкой более новой модели.
Цвет очень красивый. Золотистый цвет идет самый дорогой в линейке 13 pro max.

Емкость аккумулятора - 89 %. Красивый чехол с вышивкой в подарок.
За более детальной информацией пишите на вотсап. Можем встретиться в городе для проверки в удобном и для вас, и для нас месте.

Мошенников прошу не беспокоить!!!","Алматы, Медеуский район",Медеуский район,Алматинская область
Iphone 13 128 gb СРОЧНО коробка в наличии,175 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Другая марка', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']","iPhone 13 128 gb
88%
Состояние 8/10
Коробка документы есть","Нуркен,",,Карагандинская область
Iphone 11 продаю,160 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","IPhone11, 128ГБ, в отл состоянии, не битый, не царапанный, с защитным стеклом, с коробкой.
Состояние батареи 75%, использовался бережно только в чехле и с защитным стеклом + в подарок отдам чехлы","Степногорск,",,Акмолинская область
Apple iPhone 13 Dual Sim 256Gb Blue Самая низкая цена на Айфон 13 128г,260 000 тг.,"['Бизнес', 'В рассрочку: Все объявления, Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб, 256 Гб, 512 Гб, другое', 'Кол-во сим карт: 1 сим-карта, 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Акция Распродажа Смартфонов Apple iPhone 13 (128gb, 256gb и 512gb) в магазине Mtel kz
Внимание ЦЕНА указана ОТ 260000 тн. за НАЛИЧНЫЙ расчет
ВНИМАНИЕ! Читайте до конца! КОЛИЧЕСТВО ОГРАНИЧЕНО Акция Кто успел тот успел с 10:30 до 19:30ч. Такого ещё не было ( УБЕДИТЕЛЬНО Просим Вас Отправьте скрин или позвоните Цену зафиксируем так КАК в ЗАЛЕ ФИКСИРОВАННАЯ ЦЕНА ни кто кроме Нас не может Вам продать ниже фиксированной ЦЕНЫ)
Внимание остерегайтесь Нас копируют многие !!! Мы ни каких пред-оплат не берем!!!
- Iphone 13 128gb – от 260000 тенге за наличный РАСЧЕТ!!!
АКЦИЯ Кто УСПЕЛ тот УСПЕЛ. Цена для тех кто отправит СКРИН на WhtsApp ( Внимание ЦЕНА Может меняться )
- Iphone 13 245gb – - Iphone 13 512gb – Уточняйте ЦЕНЫ есть все модели
Абылайхана 62, ТД ""ЦУМ"", 2-Этаж, Сектор 32, (( Бутик Mtel kz ))
(Ориентир Синяя вывеска с Жёлтыми Буквами (Рядом с Уборной 2- Этажа))
- - - Доставка по Алматы и по РК – ЕСТЬ ПЛАТНАЯ
ЦЕНЫ меняются как на понижение так и на ПОВЫШЕНИЕ (Менять ЦЕНЫ не УСПЕВАЕМ)
Резерв Строго по переписке WhatsApp. Без звонка или скрина можете не приходить. Самые низкие цены Гарантируем. Звоните уточняйте ЦЕНЫ и Резервируйте. 1 год ГАРАНТИЯ.
РАСРОЧКА рассматривается на месте и ЦЕНА меняется на повышение!!! Убедительная просьба Звоните ( Пишите на вотсап ) Уточняйте Цены и ЗАРАНЕЕ ставьте РЕЗЕРВ!!!
А также есть в наличии все модели Apple iphone Все Памяти и Все Цвета,
Внимание остерегайтесь, будьте бдительны нас многие копируют. Ни каких пред оплат мы не берём Ставите Резерв и на Вас стоит Резерв. Приходите оплачивайте только по факту получения товара.
А так же есть все Другие модели смартфонов Звоните уточняйте наличие и резервируйте. Цены По Факту Самые низкие
Смотрите все наши объявления, Поставьте в избранные. Звоните или пишите на вотсап, здесь ответить на сообщение не успеваем Спасибо за понимание.

Всем Удачной покупки С/у Mtel kz
Абылайхана 62, ТД ""ЦУМ"",
2-Этаж, Сектор 32, ( Бутик Mtel kz )
(Ориентир Синяя вывеска с Жёлтыми Буквами (Рядом с Уборной 2- Этажа))

На любой СМАРТФОН Гарантируем Самые Низкие ЦЕНЫ по г. Алматы","Алматы, Алмалинский район",Алмалинский район,Алматинская область
iPhone 14 Pro 128GB Deep Purple в идеальном состоянии 87%,350 000 тг.,"['Частное лицо', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам iPhone 14 Pro 128GB Deep Purple в идеальном состоянии. Не вскрывался, не ремонтировался, детали не менялись, критических повреждений и падений не было! Цена 350 000 тенге, торг в разумных пределах уместен, возможен вариант рассрочки через Kaspi +20% к договорной стоимости! Емкость 87%.
Пожалуйста по пустяковым вопросам не звонить.
Писать только на WhatsApp в рабочее время, уважайте свое и мое время!","Шымкент, Енбекшинский район",Енбекшинский район,Туркестанская область
Продам Iphone 14,260 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам iPhone 14 на 128 гб состояние отличное
Емкость аккумулятор 86%
Коробка все чеки все в наличии телефону чуть больше года.","Петропавловск,",,Северо-Казахстанская область
Iphone 15 продается,300 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","iPhone 15
128 гб
Черного цвета
Эмкость 100%
Куплено 2 месяца назад
Коробка зарядка имеется
EAC","Талас,",,Жамбылская область
Продам iPhone 13 pro max,200 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: До 4""', 'Состояние: Б/у']","Продам айфон 13 про макс
250к тнг
Емкость 83%
На экране трещина есть
Каробка все имеется
Торг минимальный
Обмен тоже предлагаете","Жезказган,",,Карагандинская область
Iphone 15 Pro/рассрчка/актив маркет,580 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","•iPhone 15 Pro
512/100%
Цп:7
•комплектация: коробка

Большой выбор товаров по самым доступным ценам в магазине техники от Актив Ломбарда!
•Мы находимся по адресу Акана серэ 52
•Работаем каждый день без перерывов и выходных с 9:00 до 22:00
Kaspi 0-0-12
Kaspi red

Номер телефона:8-***********40","Кокшетау, Первая аптека",Первая аптека,Акмолинская область
iPhone 12 Pro Max 128GB Silver Смартфон Эпл Айфон,249 900 тг.,"['Бизнес', 'В рассрочку: Да, Все объявления', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","iPhone 12 Pro Max Silver
128GB
Серийный номер: SF2LF8KFZ0D50
АКБ: 100%
Была замена батареи
Комплект: Полный. Гарантия.
Рассрочка (Через Банки). Trade in. Обмен.

CashPro Магазин новой и б/у техники.
У нас вы можете приобрести или сдать б/у и новую технику!

Адрес:г. Нур-Султан, ул. Бейбитшилик 44. Улы Дала 33
Большой выбор Смартфонов/Ноутбуков/iPhone/MacBook/Apple Watch.","Астана, Сарыаркинский район",Сарыаркинский район,Акмолинская область
iPhone 14 Pro Max Deep Purplee,355 000 тг.,"['Бизнес', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 512 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Айфон 14 Про Макс
• память 512 ГБ
• Аккумулятор 87 %
• Состояние отличное
• гарантия есть 7 дней для проверки
• Trade-in(обмен) есть с вашей или с нашей доплатой

Наш адрес: Г.Астана Ул. Петрова 17 (со стороны ул. Сатпаева )","Астана, Алматинский район",Алматинский район,Акмолинская область
Iphone 13 pro 256 голубой,249 900 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Айфон в идеальном состояние , всегда в стекле и в чехле. В комплекте коробка, зарядка 4 чехла .
Аккумулятор 85%
Можно в рассрочку через Каспий цена 280.000
За наличные/перевод самая окончательная цена 240.000","Алматы, Бостандыкский район",Бостандыкский район,Алматинская область
iPhone 11 64 GB хорошем состаяние,180 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 64 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","Айфон 11
Хорошем состаяние
Ёмкость 90%
Царапина нет
В коробке","Сарыагаш,",,Туркестанская область
Iphone 14 pro 128gb,340 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Операционная система: iOS', 'Диагональ экрана: 4.1""-4.5""', 'Состояние: Б/у']",АКБ 88% использовалось 1 человеком,"Павлодар,",,Павлодарская область
,,[],,,,
IPhone 15 PRO MAX новые 256гб,585 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта, 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Вся продукция Apple есть в наличие.
Телефоны все новые не активированные годовая мировая гарантия.
Цены могут меняться из-за курса доллара
Наш адрес Казыбек би 138
В подарок чехол, стекло и айрподс 2 премиум
Прайс:
15 128gb-335000
15 256gb-415000
15 pro 128gb-485000
15 pro 256gb-5355000
15 pro 512gb-615000
15 pro 1tb-675000
15 pro max 256gb-585000
15 pro max 512gb-665000
15 pro max 1tb-765000","Тараз, Золотой квадрат",Золотой квадрат,Жамбылская область
,,[],,,,
iPhone 13 Pro 1 Tb,260 000 тг.,"['Бизнес', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 1024 Гб', 'Кол-во сим карт: 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","Магазин телефонов и ноутбуков «SIRI» На все телефоны есть гарантия. По городу имеется доставка с вашей доплатой. Наш магазин находится по адресу:г Шымкент Дулати 174 Яндекс, Дулати 170/1 тугис 87******695","Шымкент, Аль-Фарабийский район",Аль-Фарабийский район,Туркестанская область
Apple iPhone 13 Dual Sim 256Gb Starlight низкая цена на айфон в алматы,260 000 тг.,"['Бизнес', 'В рассрочку: Все объявления, Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб, 256 Гб, 512 Гб, другое', 'Кол-во сим карт: 1 сим-карта, 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Акция Распродажа Смартфонов Apple iPhone 13 (128gb, 256gb и 512gb) в магазине Mtel kz
Внимание ЦЕНА указана ОТ 260000 тн. за НАЛИЧНЫЙ расчет
ВНИМАНИЕ! Читайте до конца! КОЛИЧЕСТВО ОГРАНИЧЕНО Акция Кто успел тот успел с 10:30 до 19:30ч. Такого ещё не было ( УБЕДИТЕЛЬНО Просим Вас Отправьте скрин или позвоните Цену зафиксируем так КАК в ЗАЛЕ ФИКСИРОВАННАЯ ЦЕНА ни кто кроме Нас не может Вам продать ниже фиксированной ЦЕНЫ)
Внимание остерегайтесь Нас копируют многие !!! Мы ни каких пред-оплат не берем!!!
- Iphone 13 128gb – от 260000 тенге за наличный РАСЧЕТ!!!
АКЦИЯ Кто УСПЕЛ тот УСПЕЛ. Цена для тех кто отправит СКРИН на WhtsApp ( Внимание ЦЕНА Может меняться )
- Iphone 13 245gb – - Iphone 13 512gb – Уточняйте ЦЕНЫ есть все модели
Абылайхана 62, ТД ""ЦУМ"", 2-Этаж, Сектор 32, (( Бутик Mtel kz ))
(Ориентир Синяя вывеска с Жёлтыми Буквами (Рядом с Уборной 2- Этажа))
- - - Доставка по Алматы и по РК – ЕСТЬ ПЛАТНАЯ
ЦЕНЫ меняются как на понижение так и на ПОВЫШЕНИЕ (Менять ЦЕНЫ не УСПЕВАЕМ)
Резерв Строго по переписке WhatsApp. Без звонка или скрина можете не приходить. Самые низкие цены Гарантируем. Звоните уточняйте ЦЕНЫ и Резервируйте. 1 год ГАРАНТИЯ.
РАСРОЧКА рассматривается на месте и ЦЕНА меняется на повышение!!! Убедительная просьба Звоните ( Пишите на вотсап ) Уточняйте Цены и ЗАРАНЕЕ ставьте РЕЗЕРВ!!!
А также есть в наличии все модели Apple iphone Все Памяти и Все Цвета,
Внимание остерегайтесь, будьте бдительны нас многие копируют. Ни каких пред оплат мы не берём Ставите Резерв и на Вас стоит Резерв. Приходите оплачивайте только по факту получения товара.
А так же есть все Другие модели смартфонов Звоните уточняйте наличие и резервируйте. Цены По Факту Самые низкие
Смотрите все наши объявления, Поставьте в избранные. Звоните или пишите на вотсап, здесь ответить на сообщение не успеваем Спасибо за понимание.

Всем Удачной покупки С/у Mtel kz
Абылайхана 62, ТД ""ЦУМ"",
2-Этаж, Сектор 32, ( Бутик Mtel kz )
(Ориентир Синяя вывеска с Жёлтыми Буквами (Рядом с Уборной 2- Этажа))

На любой СМАРТФОН Гарантируем Самые Низкие ЦЕНЫ по г. Алматы","Алматы, Алмалинский район",Алмалинский район,Алматинская область
Айфон 15 128гб Желтый Акция самые низкие оптовые цены iphone 15 128gb,310 000 тг.,"['Бизнес', 'В рассрочку: Все объявления, Да', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб, 256 Гб, 512 Гб, другое', 'Кол-во сим карт: 1 сим-карта, 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Акция Распродажа Смартфонов Apple iPhone 15 в магазине ( Mtel kz ) Внимание ЦЕНА указана за наличный расчет ОТ ( 310000 тн. ) АКЦИЯ! Внимание Только НАЛИЧНЫЙ расчет!
Внимание Читайте до конца! Количество ограничено Акция Кто успел тот успел Только сегодня с 10:30 до 19:30ч. Такого ещё не было ( УБЕДИТЕЛЬНО Просим Вас Отправьте скрин или позвоните Цену зафиксируем так КАК в ЗАЛЕ ФИКСИРОВАННАЯ ЦЕНА ни кто кроме Нас не может Вам продать ниже фиксированной ЦЕНЫ)
-- АКЦИЯ --
- Iphone 15 128gb - ( от 310000 тн. )
- Iphone 15 256gb - ( от 363000 тн. )
- Iphone 15 512gb – Уточняйте Цены самые низкие цены обещаем
ВНИМАНИЕ мы ни каких пред-оплат не берем!!!
Абылайхана 62, ТД ""ЦУМ"", 2-Этаж, Сектор 32, ( Бутик Mtel kz ) ( Орентир Где Уборная 2-этажа )
- - - Доставка по Алматы и по РК - ЕСТЬ Платная.
АКЦИЯ - Уточняйте Цены самые низкие цены обещаем
ЦЕНЫ меняются как на понижение так и на ПОВЫШЕНИЕ (Менять ЦЕНЫ не УСПЕВАЕМ).
Резерв Строго по переписке WhatsApp. Без звонка или скрина можете не приходить. Самые низкие цены Гарантируем. Звоните уточняйте ЦЕНЫ и Резервируйте. 1 год ГАРАНТИЯ.
РАСРОЧКА рассматривается только на месте у нас в магазине и ЦЕНА меняется на повышение!!! Убедительная просьба Звоните ( Пишите ) Уточняйте Цены и ЗАРАНЕЕ ставьте РЕЗЕРВ!!!
А так же есть все Другие модели смартфонов Звоните уточняйте наличие и резервируйте. Цены По Факту Самые низкие,
Ставите Резерв и на Вас стоит Резерв. Приходите оплачивайте только по факту получения товара.
Смотрите все наши объявления, Поставьте в избранные. Звоните или пишите на вотсап, здесь ответить на сообщение не успеваем Спасибо за понимание.

Всем Удачной покупки и приятного пользования! С/у Mtel kz
Абылайхана 62, ТД ""ЦУМ"",
2-Этаж, Сектор 32, ( Бутик Mtel kz )
Гарантируем Самые Низкие ЦЕНЫ по г. Алматы На любой СМАРТФОН","Алматы, Алмалинский район",Алмалинский район,Алматинская область
,,[],,,,
iPhone XC MAX 512GB,200 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 512 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']","iPhone XC MAX 512 GB цвет черный, почти как новая. Не ремонтировалась, без царапин и сколов. Аккумулятор 82%. Чехол в подарок.","Астана, Есильский район",Есильский район,Акмолинская область
Iphone 14 128gb торг,280 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Iphone 128GB, был куплен 11 мес назад, емкость аккумулятора 89%,все стекла в порядке,состояние отличное.
Есть царапина на боку,(видно на фотографии). Продается изза того что подарили новый телефон, цена договорная.
Пишите на ватсап 87******** 91","Алматы, Ауэзовский район",Ауэзовский район,Алматинская область
Продам IPhone XS Max,160 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 512 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продам IPhone XS Max
Память 512гб
Состояние аккумулятора 76%
Цвет золото
Коробка имеется
В комплекте сам телефон и коробка","Астана, Байконурский",Байконурский,Акмолинская область
"Iphone 14 Pro Max 256GB/Айфон ""Ломбард Лидер""РАССРОЧКА ДО 60 МЕСЯЦЕВ!",395 000 тг.,"['Бизнес', 'В рассрочку: Да, Все объявления', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","КАСПИ РАССРОЧКА!!! Iphone 14 Pro Max 256Gb/Айфон 14 про макс 256ГБ""Ломбард Лидер""
РАССРОЧКА до 60 месяцев
- Сотрудничаем со всеми банками
- диагональ: 6.7дюйм
- объем встроенной памяти: 256ГБ
- Состояние 10/10
- АКБ 91
- ₸ 395 000
- Код товара: П26403

** Kaspi Рассрочка/Kaspi Кредит/Kaspi RED!!!
** Eurasian bank
** Freedom bank
** ForteBank
** Centercredit
** Home Credit Bank
** Halyk Bank

** Выдаем юридическую ГАРАНТИЮ!
** Работаем круглосуточно, без выходных!
** Ждем вас по адресу: ул.Пушкина 23, уг.ул Маметова","Алматы, Медеуский район",Медеуский район,Алматинская область
Iphone 15 Pro Max (256gb) | Актив Маркет,480 000 тг.,"['Бизнес', 'Марка телефона: Apple', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","IPhone 15 Pro Max(256gb)

АКБ: 89%
Состояние: хорошее
Комплектация: полная

Цена: 480.000

—————————

Kaspi Red
Kaspi Gold
Kaspi Рассрочка
KaspiKredit

—————————

более тысячи товаров
по самым доступным ценам в магазине техники от Актив Ломбарда!

г. Костанай ул.Каирбекова 18
+ 7 ********** 60 (WhatsApp)
Inst: kostanay_aktivlombard

График работы: с 09:00 до 22:00ч.","Костанай,",,Костанайская область
iPhone 13 blue 128 gb,195 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","iPhone 13 blue, 128 gb в отличном состоянии, все работает идеально, в ремонте не был, только есть одна царапина, не звонить, сразу писать на Ватсап","Алматы, Ауэзовский район",Ауэзовский район,Алматинская область
Iphone 14 128gb с гарантией,350 000 тг.,"['Частное лицо', 'Марка телефона: Другая марка', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Продаю iPhone 14 128gb 1 сим карта фиолетового цвета регулярно чистился всегда носился в чехле и с защитным стеклом, царапин нету использовался 3 месяца, состояние аккумулятора 100%, шнур в комплекте, единственное порвана бумажка об айфоне а коробка целая, торг уместен","Астана, Есильский район",Есильский район,Акмолинская область
iphone 15 pro.,450 000 тг.,"['Бизнес', 'Марка телефона: Apple', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Aktiv Market

Название: Iphone 15Pro
Комплектация: нет
код товара: 16-29776

Kaspi 0-0-12
Kaspi Red Еще более тысячи товаров по самым доступным ценам в магазине техники от Актив Ломбарда! Магазина находятся по адресу пушкина 25
*Работаем каждый день без перерывов и выходных с
09:00 до 19:00","Алматы, Алмалинский район",Алмалинский район,Алматинская область
"iPhone 13 PRO, 128 ГБ",400 000 тг.,"['Частное лицо', 'В рассрочку: Все объявления', 'Марка телефона: Другая марка', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 2 сим-карты, 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","iPhone 13 Pro, 128 ГБ памяти, в отличном состоянии (без царапин), есть торг!!! (продаю в связи с покупкой нового телефона)
Чехлы в подарок","Семей,",,Восточно-Казахстанская область
Обмен Iphone,250 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: 5.1""-5.5""', 'Состояние: Б/у']",Обменяю IPhone 14 на IPhone 13 Pro pro max так же на 12 pro pro max аккумулятор 85%коробка зарядка все есть около 7-8 чехлов,"Алматы, Ауэзовский район",Ауэзовский район,Алматинская область
iPhone 13 pro max,400 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","iPhone 13 pro max 256gb gold %88 отличном состоянии, срочно надо продать!!!
87*******38","Шымкент, Абайский район",Абайский район,Туркестанская область
iphone 13 128гб,200 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: 128 Гб', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']",Продам айфон 13 128гб АКБ 87 телефон в отличном состоянии,"Актубек,",,Карагандинская область
Iphone12pro продаю,150 000 тг.,"['Частное лицо', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Кол-во сим карт: 2 сим-карты', 'Операционная система: iOS', 'Диагональ экрана: 5.55""-6""', 'Состояние: Б/у']",Продаю iPhone в хорошем состоянии 12pro Торга нету,"им.Балуана Шолака,",,Жамбылская область
Телефон iPhone 15 Pro Max 256Gb 93% Айфон 15 Про Макс 256гб,440 000 тг.,"['Бизнес', 'В рассрочку: Нет', 'Марка телефона: Apple', 'Объем встроенной памяти: 256 Гб', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']","Onemobile магазин

Рассрочки и кредита НЕТ

| Гарантия |Trade in |Обмен |

• Apple iPhone 15 Pro Max

• Память 256 гб

• Аккумулятор 93%

• Цвет Белый Титан

: Старая цена 480.000 Тг.

: Со скидкой 465.000тг.

: Адрес Кенесары 46, офис 24, этаж 2 (вход со стороны кафе Панаехали)

Инстаграм оnemobile","Астана, Алматинский район",Алматинский район,Акмолинская область
Iphone 13 128 gb,180 000 тг.,"['Частное лицо', 'Марка телефона: Apple', 'Объем встроенной памяти: другое', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Б/у']",Айфон 13 сатам 128 gb ақ түсті,"Сарыозек,",,Алматинская область
Новый IPhone 16 Pro/ Kaspi рассрочка / АКТИВ МАРКЕТ,665 000 тг.,"['Бизнес', 'В рассрочку: Да', 'Марка телефона: Apple', 'Объем встроенной памяти: другое', 'Кол-во сим карт: 1 сим-карта', 'Операционная система: iOS', 'Диагональ экрана: Более 6""', 'Состояние: Новый']","Название:iPhone 16 pro
не активированный НОВЫЙ
Комплектация:полная
Кт:171-117
В рассрочка 765.000 тг
За наличный расчет 665.000тг

Большой выбор товаров по самым доступным ценам в магазине техники от Актив Ломбарда!

Также у нас действует: kaspi red
•Кредит (Kaspi Bank ,BCC)
•Рассрочка (Kaspi Bank, BCC)
•Мы находимся по адресу Улы Дала 33
•Работаем каждый день без перерывов и выходных с 9:00 до 20:00","Астана, Есильский район",Есильский район,Акмолинская область
